"Title","Name","Role"
"Shoot the Piano Player","François Truffaut","Director"
"Shoot the Piano Player","Charles Aznavour","Charlie Kohler"
"Shoot the Piano Player","Marie Dubois","Lena"
"Shoot the Piano Player","Nicole Berger","Theresa"
"Shoot the Piano Player","Michèle Mercier","Clarisse"
"Shoot the Piano Player","Albert Remy","Chico Saroyan"
