"Title","Name","Role"
"Selena","Gregory Nava","Director"
"Selena","Jennifer Lopez","Selena Quintanilla"
"Selena","Edward James Olmos","Abraham Quintanilla"
"Selena","Jon Seda","Chris Perez"
"Selena","Constance Marie","Marcela Quintanilla"
"Selena","Jacob Vargas","Abie Quintanilla"
