"Title","Name","Role"
"The Education of Little Tree","Richard Friedenberg","Director"
"The Education of Little Tree","James Cromwell","Granpa"
"The Education of Little Tree","Tantoo Cardinal","Granma"
"The Education of Little Tree","Joseph Ashton","Little Tree"
"The Education of Little Tree","Graham Greene","Willow John"
"The Education of Little Tree","James Rae","Revenuer No. 2"
