"Title","Name","Role"
"Child of God","James Franco","Director"
"Child of God","Scott Haze","Lester Ballard"
"Child of God","Tim Blake Nelson","Sheriff Fate"
"Child of God","Jim Parrack","Deputy Cotton"
"Child of God","James Franco","Jerry"
"Child of God","Brian Lally","John Greer"
