"Title","Name","Role"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","Cathy Yan","Director"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","Margot Robbie","Harley Quinn"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","Rosie Perez","Renee Montoya"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","Mary Elizabeth Winstead","Helena Bertinelli"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","Jurnee Smollett","Dinah Lance"
"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)","Ewan McGregor","Roman Sionis"
