"Title","Name","Role"
"My Girl","Howard Zieff","Director"
"My Girl","Anna Chlumsky","Vada Margaret Sultenfuss"
"My Girl","Macaulay Culkin","Thomas J. Sennett"
"My Girl","Dan Aykroyd","Harry Sultenfuss"
"My Girl","Jamie Lee Curtis","Shelly DeVoto"
"My Girl","Richard Masur","Phil Sultenfuss"
