"Title","Name","Role"
"Dead Presidents","Albert Hughes","Director"
"Dead Presidents","Allen Hughes","Director"
"Dead Presidents","Larenz Tate","Anthony Curtis"
"Dead Presidents","Keith David","Kirby"
"Dead Presidents","Chris Tucker","Skip"
"Dead Presidents","N'Bushe Wright","Delilah Benson"
