"Title","Name","Role"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Joseph Cedar","Director"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Richard Gere","Norman Oppenheimer"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Lior Ashkenazi","Eshel"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Michael Sheen","Philip Cohen"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Steve Buscemi","Rabbi Blumenthal"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Charlotte Gainsbourg","Alex"
