"Title","Name","Role"
"Tora! Tora! Tora!","Richard Fleischer","Director"
"Tora! Tora! Tora!","Toshio Masuda","Director"
"Tora! Tora! Tora!","Kinji Fukasaku","Director"
"Tora! Tora! Tora!","Martin Balsam","Adm. Husband E. Kimmel"
"Tora! Tora! Tora!","Sô Yamamura","Adm. Isoroku Yamamoto"
"Tora! Tora! Tora!","Joseph Cotten","Secretary of War Henry L. Stimson"
