"Title","Name","Role"
"Tales From the Hood 2","Rusty Cundieff","Director"
"Tales From the Hood 2","Darin Scott","Director"
"Tales From the Hood 2","Keith David","Portifoy Simms"
"Tales From the Hood 2","Bryan Batt","John Lloyd"
"Tales From the Hood 2","Lou Beatty Jr.","Floyd"
"Tales From the Hood 2","Kedrick Brown","Booze"
