"Title","Name","Role"
"Heat and Dust","James Ivory","Director"
"Heat and Dust","Julie Christie","Anne (1982. In Satipur Town)"
"Heat and Dust","Greta Scacchi","Olivia, his wife (The Nineteen Twenties in the Civil Lines at Satipur)"
"Heat and Dust","Christopher Cazenove","Douglas Rivers, the Assistant Collector (The Nineteen Twenties in the Civil Lines at Satipur"
"Heat and Dust","Julian Glover","Olivia, his wife (The Nineteen Twenties in the Civil Lines at Satipur)"
"Heat and Dust","Susan Fleetwood","Mrs. Crawford, the Burra Mensahib (The Nineteen Twenties in the Civil Lines at Satipur)"
