"Title","Name","Role"
"The Expatriate","Philipp Stölzl","Director"
"The Expatriate","Aaron Eckhart","Ben Logan"
"The Expatriate","Olga Kurylenko","Anna Brandt"
"The Expatriate","Liana Liberato","Amy"
"The Expatriate","Neil Napier","Derek Kohler"
"The Expatriate","Garrick Hagon","James Halgate III"
