"Title","Name","Role"
"The Man Who Would Be King","John Huston","Director"
"The Man Who Would Be King","Sean Connery","Daniel Dravot"
"The Man Who Would Be King","Michael Caine","Peachy Carnehan"
"The Man Who Would Be King","Christopher Plummer","Rudyard Kipling"
"The Man Who Would Be King","Saeed Jaffrey","Billy Fish"
"The Man Who Would Be King","Karroum Ben Bouih","Kafu Selim"
