"Title","Name","Role"
"The Barefoot Contessa","Joseph L. Mankiewicz","Director"
"The Barefoot Contessa","Humphrey Bogart","Harry Dawes"
"The Barefoot Contessa","Ava Gardner","Maria Vargas"
"The Barefoot Contessa","Edmond O'Brien","Oscar Muldoon"
"The Barefoot Contessa","Marius Goring","Alberto Bravano"
"The Barefoot Contessa","Rossano Brazzi","Count Vincenzo Torlato-Favrini"
