"Title","Name","Role"
"Breakfast at Tiffany's","Blake Edwards","Director"
"Breakfast at Tiffany's","Audrey Hepburn","Holly Golightly (Lulamae Barnes)"
"Breakfast at Tiffany's","George Peppard","Paul Varjak"
"Breakfast at Tiffany's","Patricia Neal","2-E"
"Breakfast at Tiffany's","Buddy Ebsen","Doc Golightly"
"Breakfast at Tiffany's","Martin Balsam","O.J. Berman"
