"Title","Name","Role"
"Dracula III: Legacy","Patrick Lussier","Director"
"Dracula III: Legacy","Jason Scott Lee","Father Uffizi"
"Dracula III: Legacy","Jason London","Luke"
"Dracula III: Legacy","Roy Scheider","Cardinal Siqueros"
"Dracula III: Legacy","Diane Neal","Elizabeth Blaine"
"Dracula III: Legacy","Alexandra Westcourt","Julia Hughes"
