"Title","Name","Role"
"Tales From the Darkside: The Movie","John Harrison","Director"
"Tales From the Darkside: The Movie","Deborah Harry","Betty (wraparound story)"
"Tales From the Darkside: The Movie","Christian Slater","Andy (segment ""Lot 249"")"
"Tales From the Darkside: The Movie","David Johansen","Halston (segment ""Cat From Hell"")"
"Tales From the Darkside: The Movie","William Hickey","Drogan (segment ""Cat From Hell"")"
"Tales From the Darkside: The Movie","James Remar","Preston (segment ""Lover's Vow"")"
