"Title","Name","Role"
"Short Circuit","John Badham","Director"
"Short Circuit","Ally Sheedy","Stephanie Speck"
"Short Circuit","Steve Guttenberg","Newton Crosby"
"Short Circuit","Fisher Stevens","Ben Jabituya"
"Short Circuit","Austin Pendleton","Howard Marner"
"Short Circuit","G.W. Bailey","Skroeder"
