"Title","Name","Role"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Chantal Akerman","Director"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Delphine Seyrig","Jeanne Dielman"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Jan Decorte","Sylvain Dielman"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Jacques Doniol-Valcroze","2nd Caller"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Yves Bical","3rd Caller"
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Henri Storck","1st Caller"
