"Title","Name","Role"
"Shaft in Africa","John Guillermin","Director"
"Shaft in Africa","Richard Roundtree","John Shaft"
"Shaft in Africa","Frank Finlay","Amafi"
"Shaft in Africa","Vonetta McGee","Aleme"
"Shaft in Africa","Neda Arneric","Jazar"
"Shaft in Africa","Debebe Eshetu","Wassa"
