"Title","Name","Role"
"Police Academy 2: Their First Assignment","Jerry Paris","Director"
"Police Academy 2: Their First Assignment","Steve Guttenberg","Officer Carey Mahoney"
"Police Academy 2: Their First Assignment","Michael Winslow","Officer Larvell Jones"
"Police Academy 2: Their First Assignment","Colleen Camp","Sgt. Kathleen Kirkland"
"Police Academy 2: Their First Assignment","Bubba Smith","Officer Moses Hightower"
"Police Academy 2: Their First Assignment","David Graf","Officer Eugene Tackleberry"
