"Title","Name","Role"
"George of the Jungle 2","David Grossman","Director"
"George of the Jungle 2","Christopher Showerman","George"
"George of the Jungle 2","Julie Benz","Ursula"
"George of the Jungle 2","Thomas Haden Church","Lyle Van de Groot"
"George of the Jungle 2","Christina Pickles","Beatrice Stanhope"
"George of the Jungle 2","Angus T. Jones","George Jr"
