"Title","Name","Role"
"Frank and Jesse","Robert Boris","Director"
"Frank and Jesse","Rob Lowe","Jesse James"
"Frank and Jesse","Bill Paxton","Frank James"
"Frank and Jesse","Randy Travis","Cole Younger"
"Frank and Jesse","William Atherton","Allan Pinkerton"
"Frank and Jesse","Dana Wheeler-Nicholson","Annie"
