"Title","Name","Role"
"The Burning Plain","Guillermo Arriaga","Director"
"The Burning Plain","Charlize Theron","Sylvia"
"The Burning Plain","Kim Basinger","Gina"
"The Burning Plain","Jennifer Lawrence","Mariana"
"The Burning Plain","Joaquim de Almeida","Nick Martinez"
"The Burning Plain","John Corbett","John"
