"Title","Name","Role"
"The Prince and the Showgirl","Laurence Olivier","Director"
"The Prince and the Showgirl","Marilyn Monroe","Elsie"
"The Prince and the Showgirl","Laurence Olivier","The Regent"
"The Prince and the Showgirl","Sybil Thorndike","The Queen Dowager"
"The Prince and the Showgirl","Jeremy Spenser","King Nicolas"
"The Prince and the Showgirl","Richard Wattis","Northbrook"
