"Title","Name","Role"
"Meet the Fockers","Jay Roach","Director"
"Meet the Fockers","Robert De Niro","Jack Byrnes"
"Meet the Fockers","Ben Stiller","Greg Focker"
"Meet the Fockers","Dustin Hoffman","Mr. Focker"
"Meet the Fockers","Barbra Streisand","Mrs. Focker"
"Meet the Fockers","Blythe Danner","Dina Byrnes"
