"Title","Name","Role"
"Charlie Chan and the Curse of the Dragon Queen","Clive Donner","Director"
"Charlie Chan and the Curse of the Dragon Queen","Peter Ustinov","Charlie Chan"
"Charlie Chan and the Curse of the Dragon Queen","Richard Hatch","Lee Chan, Jr."
"Charlie Chan and the Curse of the Dragon Queen","Angie Dickinson","Dragon Queen"
"Charlie Chan and the Curse of the Dragon Queen","Lee Grant","Mrs. Lupowitz"
"Charlie Chan and the Curse of the Dragon Queen","Brian Keith","Police Chief Baxter"
