"Title","Name","Role"
"Grosse Pointe Blank","George Armitage","Director"
"Grosse Pointe Blank","John Cusack","Martin Q. Blank"
"Grosse Pointe Blank","Minnie Driver","Debi Newberry"
"Grosse Pointe Blank","Dan Aykroyd","Grocer"
"Grosse Pointe Blank","Alan Arkin","Dr. Oatman"
"Grosse Pointe Blank","Joan Cusack","Marcella"
