"Title","Name","Role"
"Mad Max 2: The Road Warrior","George Miller","Director"
"Mad Max 2: The Road Warrior","Mel Gibson","Max"
"Mad Max 2: The Road Warrior","Bruce Spence","The Gyro Captain"
"Mad Max 2: The Road Warrior","Emil Minty","The Feral Kid"
"Mad Max 2: The Road Warrior","Vernon Wells","Wez"
"Mad Max 2: The Road Warrior","Michael Preston","Pappagallo"
