"Title","Name","Role"
"Sunrise","F.W. Murnau","Director"
"Sunrise","George O'Brien","The Man (Anses)"
"Sunrise","Janet Gaynor","The Wife (Indre)"
"Sunrise","Margaret Livingston","The Woman from the City"
"Sunrise","Bodil Rosing","The Maid"
"Sunrise","J. Farrell MacDonald","The Photographer"
