"Director_Gender","First_Gender","US_Gross","Key","Nicename"
"male","male",37057379.0916082,"male_male","By men about men"
"male","female",26916850.5427273,"male_female","By men about women"
"female","male",17160606.1538462,"female_male","By women about men"
"female","female",15744210.3773585,"female_female","By women about women"
