"Decade","Male_Gross","Female_Gross"
1980,37964247.2527473,22875186.8852459
1990,30194672.128637,24720155.0847458
2000,35310552.8062731,24929786.0071259
2010,45758063.9913886,29428229.3856209
2020,47596585.8895705,19751642.7536232
