"Decade","Male_Gross","Female_Gross"
1980,36309322.0532319,14166433.3333333
1990,30108678.286385,25040839.4230769
2000,35993203.7585734,15640070.9497207
2010,43615229.4276411,16319636.7713005
2020,46352171.1111111,23500786.25
