"Decade","First_Gender","US_Gross"
1980,"female",22875186.8852459
1980,"male",37964247.2527473
1990,"female",24720155.0847458
1990,"male",30194672.128637
2000,"male",35310552.8062731
2000,"female",24929786.0071259
2010,"male",45758063.9913886
2010,"female",29428229.3856209
2020,"male",47596585.8895705
2020,"female",19751642.7536232
