"Decade","Male_Ratings","Female_Ratings"
1980,63.8647619047619,69.5
1990,62.8652561247216,65.4571428571429
2000,59.4426952141058,59.0301507537688
2010,56.9869095048378,58.0234899328859
2020,70.0205338809035,67.3012820512821
