"Title","Director","US_Gross","Critics","Audiences","Director_Gender","First_Gender"
"Modern Girls","Jerry Kramer",264300,40,63,"male","male"
"Moving","Alan Metter",10700000,33,64,"male","male"
"Next of Kin","John Irvin",15400000,50,46,"male","male"
"No Mercy","Richard Pearce",11300000,31,28,"male","male"
"Red Heat","Walter Hill",3.5e+07,69,38,"male","male"
"Renegades","Jack Sholder",7900000,33,28,"male","male"
"Road House","Rowdy Herrington",27400000,44,67,"male","male"
"Skin Deep","Blake Edwards",19400000,32,56,"male","male"
"The Squeeze","Roger Young",23000,14,26,"male","male"
"102 Dalmatians","Kevin Lima",66900000,30,32,"male","female"
"Summer School","Carl Reiner",33300000,57,58,"male","male"
"Suspect","Peter Yates",1.8e+07,67,58,"male","female"
"Twins","Ivan Reitman",107400000,42,39,"male","male"
"Vice Versa","Brian Gilbert",12200000,50,41,"male","male"
"Witness","Peter Weir",65300000,93,80,"male","male"
"Where the Heart Is","John Boorman",1e+06,9,57,"male","male"
"Henry V","Kenneth Branagh",10200000,98,89,"male","male"
"My Blue Heaven","Herbert Ross",22800000,71,59,"male","male"
"Dick Tracy","Warren Beatty",103700000,61,53,"male","male"
"Sibling Rivalry","Carl Reiner",16800000,25,32,"male","female"
"Desperate Hours","Michael Cimino",2600000,29,23,"male","male"
"Avalon","Barry Levinson",14900000,86,78,"male","male"
"Goodfellas","Martin Scorsese",42600000,95,97,"male","male"
"After Hours","Martin Scorsese",10900000,90,87,"male","male"
"White Fang","Randal Kleiser",34600000,67,63,"male","male"
"Awakenings","Penny Marshall",49400000,82,89,"female","male"
"True Colors","Herbert Ross",304500,44,45,"male","male"
"Class Action","Michael Apted",23900000,77,51,"male","female"
"The Field","Jim Sheridan",168200,43,82,"male","female"
"The Hitman","Aaron Norris",3400000,13,44,"male","male"
"The Commitments","Alan Parker",13900000,90,90,"male","male"
"Frankie and Johnny","Garry Marshall",21500000,69,68,"male","male"
"The Man in the Moon","Robert Mulligan",2200000,91,85,"male","female"
"Father of the Bride","Charles Shyer",89100000,70,70,"male","male"
"Beethoven","Brian Levant",56500000,31,36,"male","male"
"The Cutting Edge","Paul Michael Glaser",2.3e+07,57,77,"male","female"
"King Lear","Jean-Luc Godard",8800,55,57,NA,"male"
"Of Mice and Men","Gary Sinise",5e+06,97,82,"male","male"
"Cool World","Ralph Bakshi",13700000,4,31,"male","male"
"Wind","Carroll Ballard",4900000,46,81,"male","male"
"Husbands and Wives","Woody Allen",9300000,93,87,"male","male"
"Night and the City","Irwin Winkler",6200000,57,31,"male","male"
"Hero","Stephen Frears",18200000,67,51,"male","male"
"Unforgiven","Clint Eastwood",1e+08,96,93,"male","female"
"Madame Bovary","Claude Chabrol",1900000,63,60,"male","female"
"Malcolm X","Spike Lee",47100000,88,91,"male","male"
"Indian Summer","Mike Binder",14700000,58,65,"male","female"
"Born Yesterday","Luis Mandoki",17800000,25,27,"male","male"
"Stalker","Andrei Tarkovsky",258400,100,92,"male","male"
"The Firm","Sydney Pollack",1.57e+08,76,64,"female","male"
"The Secret Garden","Agnieszka Holland",3e+07,89,80,"female","female"
"Strictly Ballroom","Baz Luhrmann",9100000,88,87,NA,"male"
"The Real McCoy","Russell Mulcahy",6300000,22,60,"male","female"
"Fatal Instinct","Carl Reiner",7600000,17,41,"male","male"
"The Fugitive","Andrew Davis",183800000,96,89,"male","male"
