"Title","Director","US_Gross","Critics","Audiences","Director_Gender","First_Gender"
"Bulletproof Monk","Paul Hunter",2.3e+07,23,38,"male","male"
"Bullets Over Broadway","Woody Allen",11400000,95,83,"male","male"
"Bulworth","Warren Beatty",26400000,76,68,"male","male"
"Bumblebee","Travis Knight",127200000,90,75,"male","female"
"Buried","Rodrigo Cortés",1e+06,87,65,"male","male"
"Burlesque","Steve Antin",39400000,37,64,"male","female"
"The Burning Plain","Guillermo Arriaga",200400,38,56,"male","female"
"Burnt by the Sun","Nikita Mikhalkov",6700,81,94,"female","male"
"Burnt","John Wells",13700000,28,45,"male","male"
"The Business of Strangers","Patrick Stettner",1e+06,81,51,"male","female"
"But I'm a Cheerleader","Jamie Babbit",2200000,43,75,"female","female"
"The Butcher's Wife","Terry Hughes",8900000,24,30,"male","male"
"Butter","Jim Field Smith",70900,34,44,"male","female"
"Bye Bye, Love","Sam Weisman",11400000,23,49,"male","male"
"Cabrini","Alejandro Monteverde",1.9e+07,89,98,"male","female"
"Bear Cub","Miguel Albaladejo",96300,74,78,"male","male"
"Caddyshack II","Allan Arkush",11300000,4,17,"male","male"
"Cadillac Man","Roger Donaldson",26900000,58,32,"male","male"
"Café Society","Woody Allen",11100000,71,56,"male","male"
"Cairo Time","Ruba Nadda",1600000,80,62,"female","female"
"Cake","Daniel Barnz",1900000,49,44,"male","female"
"Calendar Girls","Nigel Cole",3.1e+07,74,67,"male","female"
"Call Jane","Phyllis Nagy",512800,82,87,"female","female"
"Call Me by Your Name","Luca Guadagnino",1.8e+07,94,86,"male","male"
"Camille Claudel","Bruno Nuytten",22000,92,88,"male","female"
"Camp Hideout","Sean Olson",1100000,33,70,"male","male"
"Candyman","Nia DaCosta",61200000,84,72,"female","male"
"Candyman: Farewell to the Flesh","Bill Condon",13400000,21,30,"male","female"
"Candyman","Bernard Rose",23500000,79,63,"male","female"
"Capernaum","Nadine Labaki",1700000,90,93,"female","male"
"Captain America: The First Avenger","Joe Johnston",176600000,80,75,"male","male"
"Captain Corelli's Mandolin","John Madden",25500000,28,50,"male","male"
"Captain Phillips","Paul Greengrass",107100000,93,89,"male","male"
"Captain Ron","Thom Eberhardt",22500000,26,52,"male","male"
"Captain Underpants: The First Epic Movie","David Soren",73900000,87,62,"male","male"
"Captive","Jerry Jameson",2600000,27,44,"male","male"
"Captive State","Rupert Wyatt",5900000,42,39,"male","male"
"Captivity","Roland Joffé",2600000,9,23,"male","female"
"Caramel","Nadine Labaki",1100000,93,81,"female","female"
"Carancho","Pablo Trapero",85400,88,72,"male","male"
"Carandiru","Hector Babenco",214000,67,86,"male","male"
"Carlito's Way","Brian De Palma",36500000,84,91,"male","male"
"Carman: The Champion","Lee Stanley",1700000,11,67,"male","male"
"Carmen","Benjamin Millepied",103400,62,65,"male","female"
"Carrie","Kimberly Peirce",35300000,50,44,"female","female"
"Cars 3","Brian Fee",152900000,69,68,"male","male"
"House of My Father","Matt Piedmont",5900000,42,35,"male","male"
"Case 39","Christian Alvart",13200000,21,39,"male","female"
"Cashback","Sean Ellis",24900,47,77,"male","male"
"Casino Royale","Martin Campbell",1.67e+08,94,90,"male","male"
"Casino Jack","George Hickenlooper",1e+06,39,34,"male","male"
"Casper","Brad Silberling",100300000,52,50,"male","male"
"Cassandra's Dream","Woody Allen",969600,46,49,"male","male"
"Cast Away","Robert Zemeckis",233600000,89,84,"male","male"
"Castaway","Nicolas Roeg",229900,91,73,"male","male"
"Casualties of War","Brian De Palma",1.7e+07,84,75,"male","male"
"Dr. Seuss' The Cat in the Hat","Bo Welch",100400000,10,57,"male","female"
"Catch a Fire","Phillip Noyce",4300000,75,71,"male","male"
"Catch and Release","Susannah Grant",15300000,22,55,"female","female"
"Catch Me if You Can","Steven Spielberg",164400000,96,89,"male","male"
"Catch That Kid","Bart Freundlich",16700000,13,47,"male","female"
"Cats Don't Dance","Mark Dindal",3600000,71,80,"male","male"
"Catwoman","Pitof",40200000,8,18,NA,"female"
"The Caveman's Valentine","Kasi Lemmons",687100,45,51,"female","male"
"Cecil B. Demented","John Waters",1300000,52,67,"male","male"
"Celeste and Jesse Forever","Lee Toland Krieger",3100000,70,62,"male","female"
"Cellular","David R. Ellis",3.2e+07,56,58,"male","female"
"Celtic Pride","Tom DeCerchio",9200000,12,32,"male","male"
"Cemetery Man","Michele Soavi",22500,61,78,"female","male"
"Center Stage","Nicholas Hytner",17200000,41,82,"male","female"
"Central Intelligence","Rawson Marshall Thurber",127400000,71,62,"male","male"
"Central Station","Walter Salles",6200000,94,95,"male","female"
"Certain Women","Kelly Reichardt",1e+06,92,51,"female","female"
"Chairman of the Board","Alex Zamm",306700,11,20,"male","male"
"Chak De India","Shimit Amin",1100000,94,92,NA,"male"
"Champions","Robert Farrelly",16300000,58,95,"male","male"
"Chances Are","Emile Ardolino",15700000,67,65,"male","male"
"Made in China","Nikhil Advani",920800,42,31,"male","male"
"Changing Lanes","Roger Michell",66800000,78,53,"male","male"
"Chaos Walking","Doug Liman",13300000,21,71,"male","male"
"Chappaquiddick","John Curran",17400000,80,68,"male","male"
"Chappie","Neill Blomkamp",31600000,32,56,"male","male"
"Charlie and the Chocolate Factory","Tim Burton",206500000,83,51,"male","male"
"Charlie Bartlett","Jon Poll",4e+06,58,71,"male","male"
"Charlie Says","Mary Harron",46900,59,68,"female","male"
"Charlie's Angels","McG",125300000,68,45,NA,"male"
"Charlotte Sometimes","Eric Byler",83500,81,73,"male","female"
"Charlotte's Web","Gary Winick",82500000,79,62,"male","female"
"Chasing Amy","Kevin Smith",1.2e+07,87,83,"male","male"
"Chasing Liberty","Andy Cadiff",12200000,18,60,"male","female"
"Chasing Papi","Linda Mendoza",6100000,14,40,"female","male"
"Cheerful Weather for the Wedding","Donald Rice",1900,37,27,"male","female"
"Chef","Jon Favreau",31200000,87,85,"male","male"
"Chéri","Stephen Frears",2700000,51,40,"male","female"
"Cherish","Finn Taylor",160300,51,55,"male","female"
"Chicago","Rob Marshall",170700000,86,83,"male","female"
"Child of God","James Franco",37900,42,26,"male","male"
"Children of a Lesser God","Randa Haines",26800000,81,78,"female","male"
"Children of Heaven","Majid Majidi",925400,83,95,"male","male"
"Children of the Corn II: The Final Sacrifice","David Price",6400000,30,NA,"male","male"
"Child's Play 2","John Lafia",26900000,40,52,"male","male"
"Child's Play 3","Jack Bender",13500000,19,40,"male","male"
"Child's Play","Tom Holland",32800000,74,65,"male","male"
"Chile '76","Manuela Martelli",166000,91,97,"female","female"
"Chill Factor","Hugh Johnson",11200000,10,30,"male","male"
"China Moon","John Bailey",2700000,40,41,"male","female"
"CHIPS","Dax Shepard",18600000,19,45,"male","male"
"Chocolat","Lasse Hallström",165500,63,83,"male","female"
"Chocolate City","Jean-Claude La Marre",212200,60,35,NA,"male"
"The Chorus","Christophe Barratier",3600000,68,92,"male","male"
"Christine","Antonio Campos",298500,88,71,"male","female"
"Chronicle","Josh Trank",64600000,85,72,"male","male"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Andrew Adamson",291700000,75,61,"male","female"
"The Chronicles of Riddick","David Twohy",57600000,29,65,"male","male"
"Chrystal","Ray McKinnon",80700,80,57,"male","male"
"The Bleeder","Philippe Falardeau",320700,82,63,"male","male"
"Chungking Express","Kar-Wai Wong",114900,88,93,NA,"male"
"Churchill","Jonathan Teplitzky",1300000,49,54,"male","male"
"City of Men","Paulo Morelli",307100,74,78,"male","male"
"The Cider House Rules","Lasse Hallström",57500000,71,77,"male","male"
"Cinderella","Kenneth Branagh",201200000,84,78,"male","female"
"Cinderella Man","Ron Howard",61600000,80,91,"male","male"
"A Cinderella Story","Mark Rosman",51400000,11,53,"male","female"
"Cinema Sabaya","Orit Fouks Rotem",69500,87,99,"female","female"
"City by the Sea","Michael Caton-Jones",22400000,48,40,"male","male"
"City Hall","Harold Becker",2e+07,58,37,"male","male"
"City Island","Raymond De Felitta",6700000,83,79,"male","male"
"City of Ghosts","Matt Dillon",325500,48,46,"male","male"
"City of God","Fernando Meirelles",7600000,91,97,"male","male"
"City of Industry","John Irving",1500000,43,39,"male","male"
"City Slickers II: The Legend of Curly's Gold","Paul Weiland",43400000,15,31,"male","male"
"City Slickers","Ron Underwood",119800000,89,64,"male","male"
"A Civil Action","Steven Zaillian",56700000,64,55,"male","male"
"CJ7","Stephen Chow",206700,49,53,"male","male"
"The Claim","Michael Winterbottom",622000,62,48,"male","male"
"Claire Dolan","Lodge Kerrigan",9500,25,56,NA,"female"
"Clara's Heart","Robert Mulligan",4500000,47,59,"male","female"
"Wrath of the Titans","Jonathan Liebesman",83600000,26,49,"male","male"
"Clash of the Titans","Louis Leterrier",163200000,27,40,"male","male"
"Clean and Sober","Glenn Gordon Caron",8600000,53,62,"male","male"
"Clemency","Chinonye Chukwu",361700,92,65,"female","female"
"Clifford the Big Red Dog","Walt Becker",48900000,58,94,"male","female"
"Clockers","Spike Lee",1.3e+07,74,74,"male","male"
"Clockstoppers","Jonathan Frakes",3.7e+07,29,30,"male","male"
"Star Wars: The Clone Wars","Dave Filoni",456800,19,40,"male","male"
"Hypnotic","Nick Willing",39400,44,35,"male","male"
"Closer","Mike Nichols",3.4e+07,68,81,"male","male"
"Clouds of Sils Maria","Olivier Assayas",1400000,91,65,"male","female"
"Broken Lizard's Club Dread","Jay Chandrasekhar",5e+06,30,44,"male","male"
"Clueless","Amy Heckerling",56200000,81,76,"female","female"
"C'mon C'mon","Mike Mills",1500000,94,78,"male","male"
"Coach Carter","Thomas Carter",67300000,64,85,"male","male"
"Cocktail","Roger Donaldson",77300000,9,58,"male","male"
"Coco","Lee Unkrich",210500000,97,94,"male","male"
"Coco Before Chanel","Anne Fontaine",6100000,63,57,"female","female"
"Coco Chanel & Igor Stravinsky","Jan Kounen",1700000,52,43,"female","male"
"Code Name: The Cleaner","Les Mayfield",8100000,4,38,"male","male"
"Code Unknown","Michael Haneke",95200,75,79,"male","female"
"C.O.G.","Kyle Patrick Alvarez",32200,69,35,"male","male"
"Cold Creek Manor","Mike Figgis",21400000,12,23,"male","male"
"Cold in July","Jim Mickle",414600,84,67,"male","male"
"Cold Mountain","Anthony Minghella",95600000,70,77,"male","male"
"Colette","Wash Westmoreland",5100000,87,69,"male","female"
"Collateral","Michael Mann",1e+08,86,84,"male","male"
"College Road Trip","Roger Kumble",45600000,12,50,"male","male"
"Collide","Eran Creevy",2200000,24,35,"male","male"
"Colombiana","Olivier Megaton",36700000,27,67,"male","male"
"The Color of Money","Martin Scorsese",52300000,88,73,"male","male"
"Color of the Cross","Jean-Claude La Marre",84700,40,48,NA,"male"
"The Color Purple","Steven Spielberg",93400000,73,94,"male","female"
"Colossal","Nacho Vigalondo",3e+06,82,58,"male","female"
"Columbus","Kogonada",1e+06,96,80,NA,"male"
"Come Away","Brenda Chapman",106100,29,52,"female","female"
"Come Back to Me","Paul Leyden",4200,17,36,"male","female"
"Come Undone","Sébastien Lifshitz",316800,78,67,NA,"male"
"Come Undone","Silvio Soldini",8900,86,50,"male","female"
"Come What May","Christian Carion",33300,41,54,"male","male"
"Coming Through the Rye","James Steven Sadwith",4000,70,65,"male","male"
"Coming to America","John Landis",128100000,73,85,"male","male"
"Complete Unknown","Joshua Marston",166800,52,25,"male","male"
"Con Air","Simon West",101100000,58,75,"male","male"
"Conan the Barbarian","Marcus Nispel",21300000,25,30,"male","male"
"Concussion","Peter Landesman",33800000,58,74,"male","male"
"Confessions of a Dangerous Mind","George Clooney",1.6e+07,80,75,"male","male"
"Confessions of a Teenage Drama Queen","Sara Sugarman",29300000,14,35,"female","female"
"Confetti","Ann Hu",32800,82,92,"female","female"
"Confidence","James Foley",12200000,69,70,"male","male"
"Consecration","Christopher Smith",536400,41,32,"male","female"
"Conspiracy Theory","Richard Donner",76100000,57,64,"male","male"
"The Constant Gardener","Fernando Meirelles",33600000,83,82,"male","male"
"Constantine","Francis Lawrence",75500000,46,72,"male","male"
"Constellation","Jordan Walker-Pearlman",306500,0,40,"male","male"
"Contagion","Steven Soderbergh",75600000,85,63,"male","female"
"Control - Love Will Tear Us Apart","Anton Corbijn",871600,88,89,"male","male"
"Conviction","Tony Goldwyn",6800000,68,71,"male","female"
"The Cookout","Lance Rivera",11500000,5,37,"male","male"
"Cool as Ice","David Kellogg",956800,3,43,"male","male"
"The Cooler","Wayne Kramer",8200000,77,69,"male","male"
"Cop and a Half","Henry Winkler",30100000,13,34,"male","male"
"Cop Land","James Mangold",44900000,75,67,"male","male"
"Cop Out","Kevin Smith",44900000,18,39,"male","male"
"Copperhead","Ronald F. Maxwell",171700,21,45,"male","male"
"Cops and Robbersons","Michael Ritchie",10500000,18,23,"male","male"
"Coraline","Henry Selick",75300000,91,74,"male","female"
"Coriolanus","Ralph Fiennes",756500,92,58,"male","male"
"Corky Romano","Rob Pritts",2.4e+07,7,39,"male","male"
"Cotton Mary","Ismail Merchant",299400,36,43,"male","female"
"The Couch Trip","Michael Ritchie",9900000,33,44,"male","male"
"Country Strong","Shana Feste",20200000,22,53,"female","female"
"Courageous","Alex Kendrick",461700,36,86,"male","male"
"Court","Chaitanya Tamhane",16500,98,79,"male","male"
"CQ","Roman Coppola",411000,66,69,"male","male"
"Cradle 2 the Grave","Andrzej Bartkowiak",34600000,26,52,"male","male"
"Crawl","Alexandre Aja",3.9e+07,84,75,"male","female"
"Crazy Heart","Scott Cooper",39500000,90,76,"male","male"
"Crazy on the Outside","Tim Allen",64400,8,29,"male","male"
"Crazy Rich Asians","Jon M. Chu",174500000,91,76,"male","female"
"Crazy/Beautiful","John Stockwell",16900000,63,69,"male","female"
"Creative Control","Benjamin Dickinson",62500,61,39,"male","male"
"Creator","Ivan Passer",4600000,38,75,"male","male"
"Creed","Ryan Coogler",109700000,95,89,"male","male"
"Creed II","Steven Caple Jr.",115700000,83,80,"male","male"
"Creed III","Michael B. Jordan",156200000,88,95,"male","male"
"Crime and Punishment in Suburbia","Rob Schmidt",26400,21,58,"male","female"
"The Crime of Father Amaro","Carlos Carrera",5700000,62,74,"male","male"
"Criminal","Ariel Vromen",14700000,30,47,"female","male"
"Crimson Peak","Guillermo del Toro",31100000,73,56,"male","male"
"Crisis","Nicholas Jarecki",409400,66,60,"male","female"
"Crocodile Dundee","Peter Faiman",1.69e+08,89,59,"male","female"
"Cronicas","Sebastian Cordero",299300,71,77,"male","male"
"Crooked Arrows","Steve Rash",1800000,41,62,"male","male"
"Crossing Delancey","Joan Micklin Silver",15800000,80,77,"female","female"
"The Crossing Guard","Sean Penn",771700,75,53,"male","male"
"Crossover","Preston A. Whitmore II",7e+06,2,59,"male","male"
"The Crow: City of Angels","Tim Pope",17900000,14,40,"male","male"
"Cruel Intentions","Roger Kumble",38600000,54,80,"male","female"
"Cruella","Craig Gillespie",86100000,75,97,"male","female"
"Cry Freedom","Richard Attenborough",4900000,74,87,"male","male"
"A Cry in the Dark","Fred Schepisi",5700000,94,73,"male","male"
"Cry Macho","Clint Eastwood",10300000,57,64,"male","male"
"Cry Baby","John Waters",7500000,72,77,"male","female"
"Cube","Vincenzo Natali",489200,63,76,"male","male"
"Cut Sleeve Boys","Ray Yeung",13400,42,49,"male","male"
"Cut Snake","Tony Ayres",1600,69,48,"male","male"
"Cyrano","Joe Wright",3900000,85,86,"male","male"
"Dad","Gary David Goldberg",19700000,58,61,"male","male"
"Daddy Day Camp","Fred Savage",13200000,1,38,"male","male"
"Daddy Day Care","Steve Carr",104100000,27,48,"male","male"
"Daddy's Home","Sean Anders",150300000,30,49,"male","male"
"Daddy's Little Girls","Tyler Perry",31300000,26,81,"male","male"
"Dahmer","David Jacobson",71500,73,40,"male","male"
"Dallas Buyers Club","Jean-Marc Vallée",27300000,92,91,NA,"male"
"Dallas 362","Scott Caan",18900,56,61,"male","male"
"Damage","Louis Malle",7500000,81,73,"male","male"
"Damsels in Distress","Whit Stillman",1e+06,76,39,"male","female"
"Dancer in the Dark","Lars von Trier",4200000,70,91,"male","female"
"The Dancer Upstairs","John Malkovich",2400000,64,76,"male","male"
"Dangerous Beauty","Marshall Herskovitz",4600000,70,85,"male","female"
"Dangerous Ground","Darrell James Roodt",5100000,8,35,"male","male"
"Dangerous Minds","John N. Smith",84900000,34,64,"male","female"
"Danny Collins","Dan Fogelman",5500000,78,73,"male","male"
"Unleashed","Louis Leterrier",24500000,66,75,"male","male"
"Dans Paris","Christophe Honoré",63000,60,66,"male","male"
"The Darjeeling Limited","Wes Anderson",11900000,69,78,"male","male"
"Dark Eyes","Nikita Mikhalkov",11700,90,91,"female","male"
"Dark Phoenix","Simon Kinberg",65800000,22,64,"male","female"
"Dark Water","Walter Salles",25500000,47,28,"male","female"
"Dark Waters","Todd Haynes",11100000,89,95,"male","male"
"Darkest Hour","Joe Wright",56300000,84,82,"male","male"
"Darkness Falls","Jonathan Liebesman",32100000,10,34,"male","female"
"Darling Companion","Lawrence Kasdan",793400,21,29,"male","female"
"The Promise","Margarethe von Trotta",72100,71,75,"female","male"
"Date With an Angel","Tom McLoughlin",1500000,11,58,"male","male"
"Daughter of Mine","Laura Bispuri",9500,88,43,"female","female"
"Dawn of the Dead","Zack Snyder",58900000,76,77,"male","female"
"Dawn of the Planet of the Apes","Matt Reeves",208500000,91,88,"male","male"
"The Day After Tomorrow","Roland Emmerich",186700000,45,50,"male","male"
"Day Watch","Timur Bekmambetov",450700,63,68,"male","male"
"Dayveon","Amman Abbasi",2200,71,56,"male","male"
"DC League of Super-Pets","Jared Stern",93700000,72,88,"male","male"
"De De Pyaar De","Akiv Ali",425900,21,75,NA,"male"
"Rust and Bone","Jacques Audiard",2100000,82,80,"male","male"
"Dead Again","Kenneth Branagh",35500000,81,76,"male","female"
"The Dead Girl","Karen Moncrieff",17300,76,65,"female","female"
"Dead Man Down","Niels Arden Oplev",10900000,41,47,"male","male"
"Dead Poets Society","Peter Weir",94500000,84,92,"male","male"
"Dead Ringers","David Cronenberg",8300000,85,82,"male","male"
"Dead Silence","James Wan",16500000,21,51,"male","male"
"Deadfall","Stefan Ruzowitzky",64400,35,37,"male","female"
"Dean","Demetri Martin",248800,65,66,"male","male"
"Dear Frankie","Shona Auerbach",1300000,82,90,"female","male"
"Dear Zindagi","Gauri Shinde",2100000,73,73,"female","female"
"Death and the Maiden","Roman Polanski",3100000,82,81,"male","female"
"Death Defying Acts","Gillian Armstrong",3600,44,26,"female","male"
"Death Wish 4: The Crackdown","J. Lee Thompson",4700000,25,40,NA,"male"
"Death Wish V: The Face of Death","Allan A. Goldstein",559000,0,32,"male","male"
"Death of a Dynasty","Damon Dash",41400,50,39,"male","male"
"Decision to Leave","Park Chan-wook",2200000,94,85,"male","male"
"Deck the Halls","John Whitesell",35100000,6,30,"male","male"
"Deconstructing Harry","Woody Allen",10700000,73,82,"male","male"
"The Deep End of the Ocean","Ulu Grosbard",13400000,42,58,NA,"female"
"Deep Impact","Mimi Leder",140400000,45,43,"female","male"
"Déjà Vu","Tony Scott",6.4e+07,56,73,"male","male"
"Deliver Us From Evil","Scott Derrickson",30600000,29,42,"male","male"
"Delivery Man","Ken Scott",30700000,40,47,"male","male"
"De-Lovely","Irwin Winkler",13300000,48,66,"male","male"
"The Delta Force","Menahem Golan",15900000,15,50,NA,"male"
"Demolition","Jean-Marc Vallée",1800000,54,55,NA,"male"
"Dennis the Menace","Nick Castle",50200000,27,38,"male","male"
"The Departed","Martin Scorsese",132400000,91,94,"male","male"
"Derailed","Mikael Håfström",3.6e+07,21,58,"male","male"
"The Descent","Neil Marshall",2.6e+07,87,76,"male","female"
"Desert Bloom","Eugene Corr",92800,69,69,"male","male"
"Desert Blue","Morgan J. Freeman",99100,37,47,"female","male"
"Desert Dancer","Richard Raymond",153500,32,62,"male","male"
"Desperate Measures","Barbet Schroeder",13700000,19,38,NA,"male"
"Destroyer","Karyn Kusama",1500000,74,50,"female","female"
"Detroit Rock City","Adam Rifkin",4200000,50,82,"male","female"
"Deuce Bigalow: Male Gigolo","Mike Mitchell",65500000,22,42,"male","male"
"Deuce Bigalow: European Gigolo","Mike Bigelow",22300000,9,33,"male","male"
"Devil in a Blue Dress","Carl Franklin",15900000,92,71,"male","male"
"The Devil's Advocate","Taylor Hackford",6.1e+07,63,80,"female","male"
"The Devil's Backbone","Guillermo del Toro",754700,93,89,"male","male"
"Mumbai Diaries","Kiran Rao",576600,65,70,"male","male"
"Diary of a Mad Black Woman","Darren Grant",50400000,16,86,"male","male"
"Diary of a Wimpy Kid: Rodrick Rules","David Bowers",52700000,47,62,"male","male"
"Diary of a Wimpy Kid: Dog Days","David Bowers",4.9e+07,52,63,"male","male"
"Diary of a Wimpy Kid: The Long Haul","David Bowers",20700000,19,30,"male","male"
"Diary of a Wimpy Kid","Thor Freudenthal",6.4e+07,54,49,"male","male"
"Dickie Roberts: Former Child Star","Sam Weisman",22700000,22,46,"male","male"
"Die Another Day","Lee Tamahori",160200000,55,41,"male","male"
"Die Hard 2","Renny Harlin",115300000,69,70,"male","male"
"Die Hard","John McTiernan",82300000,94,94,"male","male"
"Die Mommie Die!","Mark Rucker",180300,65,73,"male","female"
"Dinner for Schmucks","Jay Roach",7.3e+07,42,42,"male","male"
"Dinner Rush","Bob Giraldi",634600,91,85,"male","male"
"Dirty Dancing: Havana Nights","Guy Ferland",14100000,23,73,"male","female"
"Dirty Dancing","Emile Ardolino",486300,72,90,"male","female"
"Dirty Girl","Abe Sylvia",53600,35,53,"male","female"
"Disco Boy","Giacomo Abbruzzese",9100,88,60,"male","male"
"Disney's The Kid","Jon Turteltaub",69700000,49,49,"male","male"
"Disobedience","Sebastián Lelio",3500000,84,75,NA,"female"
"Divergent","Neil Burger",150800000,41,69,"male","male"
"Do the Right Thing","Spike Lee",2.6e+07,92,89,"male","male"
"Doctor Sleep","Mike Flanagan",31600000,78,89,"male","male"
"Doctor Strange","Scott Derrickson",232600000,89,86,"male","male"
"Dodgeball: A True Underdog Story","Rawson Marshall Thurber",114300000,71,76,"male","male"
"Dog Days","Ken Marino",6800000,62,75,"male","female"
"Dog Park","Bruce McCulloch",242100,36,28,"male","male"
"Dogfight","Nancy Savoca",18700,83,86,"female","male"
"Dogville","Lars von Trier",1500000,70,89,"male","female"
"Dom Hemingway","Richard Shepard",518100,58,38,"male","male"
"Dominion: Prequel to the Exorcist","Paul Schrader",41800000,30,25,"male","male"
"Don Jon","Joseph Gordon-Levitt",24500000,80,58,"male","male"
"Donnie Brasco","Mike Newell",4.2e+07,88,89,"male","male"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Paris Barclay",18500000,32,80,"female","male"
"Don't Be Afraid of the Dark","Troy Nixey",2.4e+07,60,34,"male","female"
"Don't Breathe 2","Rodo Sayagues Mendez",32600000,44,85,NA,"male"
"Don't Breathe","Fede Alvarez",89200000,88,79,NA,"male"
"Don't Let Go","Jacob Aaron Estes",5200000,42,79,"male","male"
"Hot Pursuit","Anne Fletcher",34600000,8,35,"female","female"
"Don't Say a Word","Gary Fleder",5.5e+07,24,49,"male","male"
"Don't Tell Mom the Babysitter's Dead","Stephen Herek",2.3e+07,35,57,"male","female"
"Don't Worry, He Won't Get Far on Foot","Gus Van Sant",1400000,77,76,"male","male"
"Doomsday","Neil Marshall",1.1e+07,50,44,"male","female"
"The Door in the Floor","Tod Williams",3800000,68,64,"male","male"
"Dope","Rick Famuyiwa",17500000,88,83,"male","male"
"Dot the I","Matthew Parkhill",306200,26,76,"male","female"
"Double Dragon","James Yukich",2200000,12,26,"male","female"
"Doubt","John Patrick Shanley",33400000,79,78,"male","female"
"Doug's 1st Movie","Maurice Joyce",19400000,28,28,"male","male"
"Down in the Delta","Maya Angelou",5700000,76,71,"female","female"
"Down to the Bone","Debra Granik",29100,94,71,"female","female"
"Down to You","Kris Isacsson",2e+07,3,48,"female","female"
"Down With Love","Peyton Reed",20300000,60,62,"female","female"
"Down Terrace","Ben Wheatley",9600,86,61,"male","male"
"Downfall","Oliver Hirschbiegel",5500000,90,94,"male","female"
"Dr. Dolittle 2","Steve Carr",1.13e+08,41,26,"male","male"
"Dr. Dolittle","Betty Thomas",144200000,42,35,"female","male"
"Wes Craven Presents: Dracula 2000","Patrick Lussier",3.3e+07,17,39,"male","male"
"Drag Me to Hell","Sam Raimi",42100000,92,62,"male","female"
"Dragon: The Bruce Lee Story","Rob Cohen",34900000,74,79,"male","male"
"Dragonheart","Rob Cohen",51300000,50,60,"male","male"
"Dream Scenario","Kristoffer Borgli",4900000,91,68,"male","male"
"Dreamgirls","Bill Condon",103300000,79,71,"male","male"
"Dreaming of Joseph Lees","Eric Styles",7700,36,55,"male","female"
"Dredd","Pete Travis",13300000,80,72,"male","female"
"Drive","Nicolas Winding Refn",35100000,93,79,"male","male"
"Drive My Car","Ryûsuke Hamaguchi",2300000,97,78,NA,"male"
"Driving Miss Daisy","Bruce Beresford",105600000,85,81,"male","female"
"Drop Dead Gorgeous","Michael Patrick Jann",10600000,47,75,"male","female"
"Drug War","Johnnie To",127900,94,77,"male","male"
"Drugstore Cowboy","Gus Van Sant",4200000,97,85,"male","male"
"A Dry White Season","Euzhan Palcy",3300000,82,76,NA,"male"
"Duane Hopwood","Matt Mulhern",13500,55,60,"male","male"
"Dudley Do-Right","Hugh Wilson",9800000,16,24,"male","male"
"Due Date","Todd Phillips",100400000,40,52,"male","male"
"The Dukes of Hazzard","Jay Chandrasekhar",80300000,14,46,"male","male"
"Dumb and Dumberer: When Harry Met Lloyd","Troy Miller",26100000,10,23,"male","male"
"Dumb Money","Craig Gillespie",13800000,84,85,"male","male"
"Dumbo","Tim Burton",114800000,46,48,"male","male"
"Dune","Denis Villeneuve",108300000,83,90,"male","male"
"Dungeons & Dragons","Courtney Solomon",15200000,9,20,"female","male"
"Dunston Checks In","Ken Kwapis",8500000,17,41,"male","male"
"Dutch","Preston A. Whitmore II",323200,20,69,"male","male"
"Dynamite Warrior","Chalerm Wongpim",5200,67,35,NA,"male"
"Eagle vs. Shark","Taika Waititi",221800,57,67,NA,"female"
"Early Man","Nick Park",8200000,81,49,"male","male"
"Earth Girls Are Easy","Julien Temple",3900000,68,43,"male","female"
"Eastern Promises","David Cronenberg",17100000,89,83,"male","male"
"Easy A","Will Gluck",58400000,85,77,"male","female"
"Eat Pray Love","Ryan Murphy",80600000,35,42,"male","female"
"Ed Wood","Tim Burton",5900000,92,88,"male","male"
"Ed","Bill Couturié",4e+06,6,22,"male","male"
"Edge of Darkness","Martin Campbell",43300000,55,49,"male","male"
"Edmond","Stuart Gordon",131600,47,46,"male","male"
"EDtv","Ron Howard",22400000,63,30,"male","male"
"The Education of Charlie Banks","Fred Durst",14500,48,45,"male","male"
"The Education of Little Tree","Richard Friedenberg",320700,59,75,"male","male"
"Eight Days a Week","Michael Davis",29300,20,68,"male","male"
"Eight Men Out","John Sayles",4300000,87,79,"male","male"
"Eighth Grade","Bo Burnham",13500000,99,82,"male","female"
"The Singer","Leon Ichaso",7600000,25,63,"male","male"
"Election","Alexander Payne",14900000,92,79,"male","female"
"Elektra","Rob Bowman",24400000,11,29,"male","female"
"Elemental","Peter Sohn",154400000,73,93,"male","female"
"Eleven Men Out","Robert I. Douglas",1300,36,21,"male","male"
"Elizabeth Blue","Vincent Sabella",2300,58,97,"male","female"
"Elizabethtown","Cameron Crowe",26800000,28,66,"male","male"
"Ella Enchanted","Tommy O'Haver",22900000,51,57,"male","female"
"Elle","Paul Verhoeven",2300000,91,73,"male","female"
"Elling","Petter Næss",313400,85,91,"male","male"
"Elysium","Neill Blomkamp",93100000,64,58,"male","male"
"Ema","Pablo Larraín",53200,87,64,"male","female"
"Embattled","Nick Sarkisov",32200,71,70,"male","male"
"The Emperor's Club","Michael Hoffman",14100000,50,67,"male","male"
"The Emperor's New Groove","Mark Dindal",89600000,86,84,"male","male"
