"Decade","Director_Gender","US_Gross"
1980,"male",36309322.0532319
1980,"female",14166433.3333333
1990,"male",30108678.286385
1990,"female",25040839.4230769
2000,"male",35993203.7585734
2000,"female",15640070.9497207
2010,"male",43615229.4276411
2010,"female",16319636.7713005
2020,"male",46352171.1111111
2020,"female",23500786.25
