"Source","Target"
"Bardo, False Chronicle of a Handful of Truths","https://www.rottentomatoes.com/m/together_together"
"Bardo, False Chronicle of a Handful of Truths","https://www.rottentomatoes.com/m/la_belle_epoque"
"Bardo, False Chronicle of a Handful of Truths","https://www.rottentomatoes.com/m/good_grief_2023"
"Bardo, False Chronicle of a Handful of Truths","https://www.rottentomatoes.com/m/not_okay"
"Bardo, False Chronicle of a Handful of Truths","https://www.rottentomatoes.com/m/allswell_in_new_york"
