"Source","Target"
"The Little Girl Who Was Too Fond of Matches","https://www.rottentomatoes.com/m/a_family_submerged"
"The Little Girl Who Was Too Fond of Matches","https://www.rottentomatoes.com/m/herself"
"The Little Girl Who Was Too Fond of Matches","https://www.rottentomatoes.com/m/reflections_in_the_dust"
"The Little Girl Who Was Too Fond of Matches","https://www.rottentomatoes.com/m/mary_goes_round"
"The Little Girl Who Was Too Fond of Matches","https://www.rottentomatoes.com/m/beauty_mark_2017"
