"Source","Target"
"Lady and the Tramp II: Scamp's Adventure","https://www.rottentomatoes.com/m/101_dalmatians_ii_patchs_london_adventure"
"Lady and the Tramp II: Scamp's Adventure","https://www.rottentomatoes.com/m/jungle_book_2"
"Lady and the Tramp II: Scamp's Adventure","https://www.rottentomatoes.com/m/piglets_big_movie"
"Lady and the Tramp II: Scamp's Adventure","https://www.rottentomatoes.com/m/tarzan_and_jane"
"Lady and the Tramp II: Scamp's Adventure","https://www.rottentomatoes.com/m/mulan_ii"
