"Source","Target"
"The Russians Are Coming! The Russians Are Coming!","https://www.rottentomatoes.com/m/what_did_you_do_in_the_war_daddy"
"The Russians Are Coming! The Russians Are Coming!","https://www.rottentomatoes.com/m/avanti"
"The Russians Are Coming! The Russians Are Coming!","https://www.rottentomatoes.com/m/the_in_laws_1979"
"The Russians Are Coming! The Russians Are Coming!","https://www.rottentomatoes.com/m/donovans_reef"
"The Russians Are Coming! The Russians Are Coming!","https://www.rottentomatoes.com/m/father_goose"
