"Source","Target"
"Friday the 13th Part VII -- The New Blood","https://www.rottentomatoes.com/m/friday_the_13th_part_6_jason_lives"
"Friday the 13th Part VII -- The New Blood","https://www.rottentomatoes.com/m/friday_the_13th_part_8_jason_takes_manhattan"
"Friday the 13th Part VII -- The New Blood","https://www.rottentomatoes.com/m/friday-the-13th-the-final-chapter"
"Friday the 13th Part VII -- The New Blood","https://www.rottentomatoes.com/m/pet_sematary_ii"
"Friday the 13th Part VII -- The New Blood","https://www.rottentomatoes.com/m/friday_the_13th_part_5_a_new_beginning"
