"Source","Target"
"Hamlet 2","https://www.rottentomatoes.com/m/10007947-ten"
"Hamlet 2","https://www.rottentomatoes.com/m/keeping_mum"
"Hamlet 2","https://www.rottentomatoes.com/m/frankie_and_johnny_are_married"
"Hamlet 2","https://www.rottentomatoes.com/m/grandmas_boy"
"Hamlet 2","https://www.rottentomatoes.com/m/being_john_malkovich"
