"Source","Target"
"Greystoke: The Legend of Tarzan, Lord of the Apes","https://www.rottentomatoes.com/m/accidental_tourist"
"Greystoke: The Legend of Tarzan, Lord of the Apes","https://www.rottentomatoes.com/m/1109679-hamlet"
"Greystoke: The Legend of Tarzan, Lord of the Apes","https://www.rottentomatoes.com/m/time_after_time"
"Greystoke: The Legend of Tarzan, Lord of the Apes","https://www.rottentomatoes.com/m/1009989-hotel"
"Greystoke: The Legend of Tarzan, Lord of the Apes","https://www.rottentomatoes.com/m/one-on-one"
