"Source","Target"
"Asterix & Obelix: Mission Cleopatre","https://www.rottentomatoes.com/m/around_the_world_in_80_days"
"Asterix & Obelix: Mission Cleopatre","https://www.rottentomatoes.com/m/the_crocodile_hunter_collision_course"
"Asterix & Obelix: Mission Cleopatre","https://www.rottentomatoes.com/m/johnny_english_strikes_again_2018"
"Asterix & Obelix: Mission Cleopatre","https://www.rottentomatoes.com/m/1212720-stone_of_destiny"
"Asterix & Obelix: Mission Cleopatre","https://www.rottentomatoes.com/m/assassination_bureau"
