"Source","Target"
"Davy Crockett: King of the Wild Frontier","https://www.rottentomatoes.com/m/1021964-treasure_island"
"Davy Crockett: King of the Wild Frontier","https://www.rottentomatoes.com/m/1020736-swiss_family_robinson"
"Davy Crockett: King of the Wild Frontier","https://www.rottentomatoes.com/m/incredible_journey"
"Davy Crockett: King of the Wild Frontier","https://www.rottentomatoes.com/m/white_fang_2_myth_of_the_white_wolf"
"Davy Crockett: King of the Wild Frontier","https://www.rottentomatoes.com/m/homeward_bound_the_incredible_journey"
