"Source","Target"
"Detective Dee and the Mystery of the Phantom Flame","https://www.rottentomatoes.com/m/hero"
"Detective Dee and the Mystery of the Phantom Flame","https://www.rottentomatoes.com/m/colombiana"
"Detective Dee and the Mystery of the Phantom Flame","https://www.rottentomatoes.com/m/2012"
"Detective Dee and the Mystery of the Phantom Flame","https://www.rottentomatoes.com/m/last_legion"
"Detective Dee and the Mystery of the Phantom Flame","https://www.rottentomatoes.com/m/the_conspirator"
