"Source","Target"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","https://www.rottentomatoes.com/m/box_of_moonlight"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","https://www.rottentomatoes.com/m/flirting_with_disaster"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","https://www.rottentomatoes.com/m/friday"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","https://www.rottentomatoes.com/m/get_shorty"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","https://www.rottentomatoes.com/m/bottle_rocket"
