"Source","Target"
"Gold Diggers: The Secret of Bear Mountain","https://www.rottentomatoes.com/m/1070621-flipper"
"Gold Diggers: The Secret of Bear Mountain","https://www.rottentomatoes.com/m/white_fang_2_myth_of_the_white_wolf"
"Gold Diggers: The Secret of Bear Mountain","https://www.rottentomatoes.com/m/tom_and_huck"
"Gold Diggers: The Secret of Bear Mountain","https://www.rottentomatoes.com/m/1084582-mighty_joe_young"
"Gold Diggers: The Secret of Bear Mountain","https://www.rottentomatoes.com/m/1032182-white_fang"
