"Source","Target"
"Sesame Street Presents: Follow That Bird","https://www.rottentomatoes.com/m/1074108-101_dalmatians"
"Sesame Street Presents: Follow That Bird","https://www.rottentomatoes.com/m/ramona_and_beezus"
"Sesame Street Presents: Follow That Bird","https://www.rottentomatoes.com/m/alvin_and_the_chipmunks_chipwrecked_2011"
"Sesame Street Presents: Follow That Bird","https://www.rottentomatoes.com/m/muppets_take_manhattan"
"Sesame Street Presents: Follow That Bird","https://www.rottentomatoes.com/m/1153951-curious_george"
