"Source","Target"
"Mighty Morphin Power Rangers: The Movie","https://www.rottentomatoes.com/m/batman_mask_of_the_phantasm"
"Mighty Morphin Power Rangers: The Movie","https://www.rottentomatoes.com/m/babys_day_out"
"Mighty Morphin Power Rangers: The Movie","https://www.rottentomatoes.com/m/dunston_checks_in"
"Mighty Morphin Power Rangers: The Movie","https://www.rottentomatoes.com/m/mrs_doubtfire"
"Mighty Morphin Power Rangers: The Movie","https://www.rottentomatoes.com/m/turbo_a_power_rangers_movie"
