"Source","Target"
"The Discreet Charm of the Bourgeoisie","https://www.rottentomatoes.com/m/travels_with_my_aunt"
"The Discreet Charm of the Bourgeoisie","https://www.rottentomatoes.com/m/who_is_killing_the_great_chefs_of_europe"
"The Discreet Charm of the Bourgeoisie","https://www.rottentomatoes.com/m/revenge_of_the_pink_panther"
"The Discreet Charm of the Bourgeoisie","https://www.rottentomatoes.com/m/love_and_death"
"The Discreet Charm of the Bourgeoisie","https://www.rottentomatoes.com/m/lovers_and_other_strangers"
