"Source","Target"
"Tall Tale: The Unbelievable Adventures of Pecos Bill","https://www.rottentomatoes.com/m/kid_in_king_arthurs_court"
"Tall Tale: The Unbelievable Adventures of Pecos Bill","https://www.rottentomatoes.com/m/james_and_the_giant_peach"
"Tall Tale: The Unbelievable Adventures of Pecos Bill","https://www.rottentomatoes.com/m/casper"
"Tall Tale: The Unbelievable Adventures of Pecos Bill","https://www.rottentomatoes.com/m/magic_in_the_water"
"Tall Tale: The Unbelievable Adventures of Pecos Bill","https://www.rottentomatoes.com/m/bogus"
