"Source","Target"
"The Crocodile Hunter: Collision Course","https://www.rottentomatoes.com/m/around_the_world_in_80_days"
"The Crocodile Hunter: Collision Course","https://www.rottentomatoes.com/m/asterix-obelix-mission-cleopatre"
"The Crocodile Hunter: Collision Course","https://www.rottentomatoes.com/m/1212720-stone_of_destiny"
"The Crocodile Hunter: Collision Course","https://www.rottentomatoes.com/m/johnny_english_strikes_again_2018"
"The Crocodile Hunter: Collision Course","https://www.rottentomatoes.com/m/agent_cody_banks_2_destination_london"
