"Source","Target"
"Percy Jackson & the Olympians: The Lightning Thief","https://www.rottentomatoes.com/m/percy_jackson_sea_of_monsters"
"Percy Jackson & the Olympians: The Lightning Thief","https://www.rottentomatoes.com/m/chronicles_of_narnia_the_voyage_of_the_dawn_treader"
"Percy Jackson & the Olympians: The Lightning Thief","https://www.rottentomatoes.com/m/harry_potter_and_the_sorcerers_stone"
"Percy Jackson & the Olympians: The Lightning Thief","https://www.rottentomatoes.com/m/harry_potter_and_the_prisoner_of_azkaban"
"Percy Jackson & the Olympians: The Lightning Thief","https://www.rottentomatoes.com/m/harry_potter_and_the_chamber_of_secrets"
