"Source","Target"
"Wes Craven's New Nightmare","https://www.rottentomatoes.com/m/freddys_dead_the_final_nightmare"
"Wes Craven's New Nightmare","https://www.rottentomatoes.com/m/a_nightmare_on_elm_street_5_the_dream_child"
"Wes Craven's New Nightmare","https://www.rottentomatoes.com/m/a_nightmare_on_elm_street_3_dream_warriors"
"Wes Craven's New Nightmare","https://www.rottentomatoes.com/m/nightmare_on_elm_street"
"Wes Craven's New Nightmare","https://www.rottentomatoes.com/m/in_the_mouth_of_madness"
