"Source","Target"
"City Slickers II: The Legend of Curly's Gold","https://www.rottentomatoes.com/m/city_slickers"
"City Slickers II: The Legend of Curly's Gold","https://www.rottentomatoes.com/m/blue_streak"
"City Slickers II: The Legend of Curly's Gold","https://www.rottentomatoes.com/m/1001180-armed_and_dangerous"
"City Slickers II: The Legend of Curly's Gold","https://www.rottentomatoes.com/m/1131155-envy"
"City Slickers II: The Legend of Curly's Gold","https://www.rottentomatoes.com/m/honeymoon_in_vegas"
