"Source","Target"
"Pirates of the Caribbean: Dead Men Tell No Tales","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl"
"Pirates of the Caribbean: Dead Men Tell No Tales","https://www.rottentomatoes.com/m/prince_of_persia_sands_of_time"
"Pirates of the Caribbean: Dead Men Tell No Tales","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_on_stranger_tides"
"Pirates of the Caribbean: Dead Men Tell No Tales","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_3"
"Pirates of the Caribbean: Dead Men Tell No Tales","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest"
