"Source","Target"
"Friday the 13th, Part VI: Jason Lives","https://www.rottentomatoes.com/m/friday_the_13th_part_5_a_new_beginning"
"Friday the 13th, Part VI: Jason Lives","https://www.rottentomatoes.com/m/friday_the_13th_part_7_the_new_blood"
"Friday the 13th, Part VI: Jason Lives","https://www.rottentomatoes.com/m/friday-the-13th-the-final-chapter"
"Friday the 13th, Part VI: Jason Lives","https://www.rottentomatoes.com/m/friday_the_13th_part_8_jason_takes_manhattan"
"Friday the 13th, Part VI: Jason Lives","https://www.rottentomatoes.com/m/friday_the_13th_part_2"
