"Source","Target"
"Prince of Persia: The Sands of Time","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl"
"Prince of Persia: The Sands of Time","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_men_tell_no_tales"
"Prince of Persia: The Sands of Time","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_on_stranger_tides"
"Prince of Persia: The Sands of Time","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest"
"Prince of Persia: The Sands of Time","https://www.rottentomatoes.com/m/pirates_of_the_caribbean_3"
