"Source","Target"
"Marilyn Hotchkiss' Ballroom Dancing and Charm School","https://www.rottentomatoes.com/m/win_a_date_with_tad_hamilton"
"Marilyn Hotchkiss' Ballroom Dancing and Charm School","https://www.rottentomatoes.com/m/along_came_polly"
"Marilyn Hotchkiss' Ballroom Dancing and Charm School","https://www.rottentomatoes.com/m/dan_in_real_life"
"Marilyn Hotchkiss' Ballroom Dancing and Charm School","https://www.rottentomatoes.com/m/prime"
"Marilyn Hotchkiss' Ballroom Dancing and Charm School","https://www.rottentomatoes.com/m/shall_we_dance"
