"Source","Target"
"The Loneliness of the Long Distance Runner","https://www.rottentomatoes.com/m/kes"
"The Loneliness of the Long Distance Runner","https://www.rottentomatoes.com/m/1032798-entertainer"
"The Loneliness of the Long Distance Runner","https://www.rottentomatoes.com/m/the-l-shaped-room"
"The Loneliness of the Long Distance Runner","https://www.rottentomatoes.com/m/girl_with_green_eyes"
"The Loneliness of the Long Distance Runner","https://www.rottentomatoes.com/m/1012672-look_back_in_anger"
