"Source","Target"
"Shang-Chi and the Legend of the Ten Rings","https://www.rottentomatoes.com/m/thor_love_and_thunder"
"Shang-Chi and the Legend of the Ten Rings","https://www.rottentomatoes.com/m/black_panther_2018"
"Shang-Chi and the Legend of the Ten Rings","https://www.rottentomatoes.com/m/the_marvels"
"Shang-Chi and the Legend of the Ten Rings","https://www.rottentomatoes.com/m/avengers_endgame"
"Shang-Chi and the Legend of the Ten Rings","https://www.rottentomatoes.com/m/doctor_strange_2016"
